"SQGDP2 Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"23000","Maine",51734.5,52235.6,52676.5,52378.2,52169.8,52250.6,52526.9,53354.6,53453.5,54151.6,53893.1,53220.6,54322.1,53930.1,54443.1,55185.1,55211.7,56071.7,56779.9,57579.9,57043.3,57966.9,58412.1,59103.0,59315.6,60006.6,60524.3,61171.2,61492.8,61893.4,62633.5,63631.9,64336.4,65329.0,65898.8,66403.4,67167.7,68017.4,68875.1,69751.5,70824.2,64444.5,70411.9,71406.5,72352.8,74604.3,76044.7
"24000","Maryland",307997.8,313050.7,316123.0,321741.7,321133.2,325853.6,328294.4,329843.7,332291.9,330946.7,334541.6,332313.8,338189.8,337924.2,341117.9,345078.5,345118.3,351625.1,356929.4,357372.7,364691.1,367225.6,371570.0,375425.5,381456.9,386108.3,389723.1,393645.4,394755.6,397749.5,401943.9,407175.1,403878.0,409962.3,413184.4,417374.4,415102.5,420345.1,424644.3,426346.0,421334.2,387136.6,414207.1,420020.9,432503.3,443728.9,451635.0
"25000","Massachusetts",400544.4,408703.1,416457.2,418839.7,414300.3,429135.9,425556.8,433098.9,436320.5,442564.2,446257.8,446525.2,448675.7,450705.9,456748.1,461155.1,457454.6,464399.0,475229.0,484791.6,490415.3,498544.3,499976.6,506469.1,509105.1,513156.9,514660.6,521627.6,523096.1,527380.9,534459.7,544480.4,549103.3,563872.4,569937.6,573275.9,579427.5,590864.3,597792.4,604942.6,597755.7,545421.7,591546.5,595183.4,607378.5,625112.7,637424.2
"26000","Michigan",375725.8,388936.3,398038.6,397471.2,399005.9,399612.8,403872.9,415727.2,417615.0,421818.4,425245.1,426086.3,433696.7,434350.6,438684.9,442365.5,440378.2,450078.2,456766.6,459869.8,467004.1,473765.1,478523.9,480640.2,482521.7,490680.5,492676.0,495177.8,493557.4,499111.6,503585.2,510752.3,510783.3,521309.5,524317.9,526799.7,524585.2,528314.4,534510.4,538328.3,526832.8,478008.7,523910.6,531727.7,540172.1,559479.1,567449.7
"27000","Minnesota",266131.0,271067.0,275935.1,283792.2,281345.0,288354.4,288202.2,290255.8,295192.1,297012.2,300114.5,300994.4,305602.7,307963.4,314183.0,316756.5,316868.9,323787.2,329157.7,329191.7,333289.1,333551.3,336426.5,338853.7,339457.7,343121.1,346182.0,347482.4,350225.1,351562.7,355961.8,360987.3,366220.6,372335.2,376115.4,379006.8,377556.3,381431.3,385157.0,388013.9,383114.2,348492.0,378201.1,385149.9,394078.2,407395.3,415392.6
"28000","Mississippi",92520.0,93869.8,94738.6,94644.1,94477.7,95530.6,96650.7,98213.1,100438.2,101000.9,100738.3,99616.4,102399.5,100989.2,103490.2,102605.2,102552.2,104953.4,104719.4,104976.0,104902.0,105862.3,106554.3,106339.8,106041.5,106996.6,107654.4,108473.0,108709.3,109260.2,110140.6,111740.0,111031.4,112502.4,112720.3,113372.9,112683.1,113932.4,115445.2,116874.7,117321.7,104760.6,115624.6,117675.7,119916.1,123781.1,126154.7
"29000","Missouri",257797.6,259623.2,260754.5,261089.2,258673.6,261128.2,262960.1,265506.4,269668.6,271405.2,271870.1,273196.7,279521.2,279152.4,280759.9,282850.6,279894.0,285741.8,290728.3,293665.6,295141.1,297247.7,298744.0,296584.5,297502.7,299752.8,301891.0,304511.5,302655.7,306648.7,310198.6,315385.3,313996.9,318142.8,321688.1,323747.7,326392.5,330737.6,334292.6,337668.8,337330.2,306989.2,333605.6,339543.7,347150.9,359033.7,365899.5
"30000","Montana",37821.4,37997.7,38425.6,39099.5,40149.7,40783.2,41096.6,41950.8,42194.1,42018.6,42430.4,42720.3,43481.0,43523.5,43856.9,43890.2,44258.4,45152.7,45482.4,45815.3,46489.1,47030.9,46996.3,45899.9,44871.0,44944.4,45579.7,46568.5,47319.1,48237.3,48730.4,49471.0,50826.4,51148.1,50870.3,50770.3,51242.0,51576.5,51965.1,52373.7,53355.6,47646.3,52022.1,53011.5,55688.7,57919.4,59128.7
"31000","Nebraska",88861.0,91365.9,92485.1,93534.1,98557.9,99235.2,99802.4,102088.9,100934.2,103118.4,102802.0,104049.2,107677.2,106984.1,107480.3,106901.3,109549.4,112380.8,112303.5,113550.0,114881.8,116613.3,117454.4,117108.9,116052.3,117459.2,118839.5,120232.6,119585.0,121344.8,122064.8,124790.5,126077.4,126282.6,126649.2,128681.6,128696.6,130122.7,132310.1,134280.2,135795.6,123141.7,134653.8,140165.0,144702.9,150507.1,153585.7
"32000","Nevada",122270.6,124136.6,125714.4,126556.1,125653.6,128566.1,127980.3,128511.5,129349.7,129373.2,129542.7,128986.1,131300.0,130850.3,132274.5,133920.9,133562.6,134745.3,136605.6,139121.1,141468.9,144791.1,146326.6,147877.2,149888.2,150660.4,151958.0,154854.9,158954.6,159629.0,161281.6,163274.7,167309.5,170005.3,171291.6,172805.1,178756.3,181161.2,183081.2,183974.5,181627.4,154769.9,172206.8,175171.1,180311.4,187393.9,192228.3
"33000","New Hampshire",63357.3,65195.3,65346.0,65475.7,64732.3,66068.2,66262.9,67549.2,67319.4,68064.4,68839.8,69768.7,70006.4,69985.7,70624.8,71287.9,70883.2,72798.2,73170.1,75129.4,74430.9,76299.6,76663.1,78518.3,78413.1,78688.8,79119.8,80138.8,79788.4,80263.0,80464.1,82148.0,82205.2,83957.2,84448.5,84765.3,86071.2,86994.5,88011.3,88953.4,90373.3,81023.5,88842.1,90245.3,91399.7,93891.1,94305.5
"34000","New Jersey",489825.5,491519.3,495253.1,494451.7,487799.7,494139.4,497243.6,504680.6,513255.1,514889.1,522276.0,518363.1,533914.9,531037.8,533123.6,538634.9,535654.2,540941.0,545950.7,548825.3,557467.4,562865.5,566496.2,566106.2,571766.1,573865.2,576799.2,579573.4,577918.5,581950.2,588398.8,597231.0,599685.2,610361.0,616164.9,627823.7,626979.7,636579.1,644458.3,649729.7,638654.3,577107.6,624411.1,634144.0,652223.3,671482.9,686841.7
"35000","New Mexico",83570.2,83603.9,84365.0,86907.1,84984.4,87150.1,87541.0,88575.8,88174.0,88777.5,87716.9,87032.5,88057.8,88332.6,88953.4,89683.6,90141.0,91901.0,93093.2,93607.6,90625.8,90857.7,90265.3,89348.5,88655.6,89401.6,90023.5,90997.0,90894.2,91707.1,92505.6,94137.4,95800.2,97253.7,97768.1,98254.7,100099.6,101402.1,102447.1,103937.2,101902.2,90750.0,99513.6,101722.7,104748.4,108241.5,110696.1
"36000","New York",1212281.1,1239431.8,1225133.3,1217272.5,1245779.2,1239973.0,1244390.3,1260280.6,1292014.6,1319126.3,1339392.5,1362400.6,1337603.4,1354773.5,1371706.0,1398033.1,1398650.6,1418894.7,1443978.6,1462169.5,1469160.0,1492987.1,1501956.7,1486406.9,1520204.6,1543252.5,1563388.2,1578571.0,1587773.1,1593848.0,1613042.2,1620950.3,1663136.9,1692468.0,1708910.4,1715316.2,1737120.5,1769083.1,1790613.6,1814189.9,1751310.8,1627415.7,1742921.2,1777388.6,1813747.7,1868223.7,1893670.4
