State,State Code,Year,Month Code,Gender,Deaths
Alabama,1,2019,2019/03,Female,2294
Alabama,1,2019,2019/03,Male,2461
Alabama,1,2019,2019/04,Female,2105
Alabama,1,2019,2019/04,Male,2328
Alabama,1,2019,2019/05,Female,2178
Alabama,1,2019,2019/05,Male,2397
Alabama,1,2019,2019/06,Female,2110
Alabama,1,2019,2019/06,Male,2195
Alabama,1,2019,2019/07,Female,2080
Alabama,1,2019,2019/07,Male,2353
Alabama,1,2019,2019/08,Female,2133
Alabama,1,2019,2019/08,Male,2269
Alabama,1,2019,2019/09,Female,1992
Alabama,1,2019,2019/09,Male,2179
Alabama,1,2019,2019/10,Female,2106
Alabama,1,2019,2019/10,Male,2256
Alabama,1,2019,2019/11,Female,2164
Alabama,1,2019,2019/11,Male,2365
Alabama,1,2019,2019/12,Female,2346
Alabama,1,2019,2019/12,Male,2486
Alabama,1,2020,2020/01,Female,2381
Alabama,1,2020,2020/01,Male,2472
Alabama,1,2020,2020/02,Female,2269
Alabama,1,2020,2020/02,Male,2424
Alabama,1,2020,2020/03,Female,2315
Alabama,1,2020,2020/03,Male,2566
Alabama,1,2020,2020/04,Female,2373
Alabama,1,2020,2020/04,Male,2583
Alabama,1,2020,2020/05,Female,2498
Alabama,1,2020,2020/05,Male,2692
Alabama,1,2020,2020/06,Female,2428
Alabama,1,2020,2020/06,Male,2578
Alabama,1,2020,2020/07,Female,2856
Alabama,1,2020,2020/07,Male,3013
Alabama,1,2020,2020/08,Female,2791
Alabama,1,2020,2020/08,Male,3101
Alabama,1,2020,2020/09,Female,2468
Alabama,1,2020,2020/09,Male,2756
Alabama,1,2020,2020/10,Female,2532
Alabama,1,2020,2020/10,Male,2790
Alabama,1,2020,2020/11,Female,2703
Alabama,1,2020,2020/11,Male,2978
Alabama,1,2020,2020/12,Female,3426
Alabama,1,2020,2020/12,Male,3786
Alaska,2,2010,2010/01,Female,150
Alaska,2,2010,2010/01,Male,168
Alaska,2,2010,2010/02,Female,125
Alaska,2,2010,2010/02,Male,164
Alaska,2,2010,2010/03,Female,114
Alaska,2,2010,2010/03,Male,168
Alaska,2,2010,2010/04,Female,132
Alaska,2,2010,2010/04,Male,172
Alaska,2,2010,2010/05,Female,128
Alaska,2,2010,2010/05,Male,180
Alaska,2,2010,2010/06,Female,138
Alaska,2,2010,2010/06,Male,163
Alaska,2,2010,2010/07,Female,139
Alaska,2,2010,2010/07,Male,194
Alaska,2,2010,2010/08,Female,123
Alaska,2,2010,2010/08,Male,200
Alaska,2,2010,2010/09,Female,139
Alaska,2,2010,2010/09,Male,160
Alaska,2,2010,2010/10,Female,128
Alaska,2,2010,2010/10,Male,184
Alaska,2,2010,2010/11,Female,125
Alaska,2,2010,2010/11,Male,201
Alaska,2,2010,2010/12,Female,156
Alaska,2,2010,2010/12,Male,177
Alaska,2,2011,2011/01,Female,139
Alaska,2,2011,2011/01,Male,185
Alaska,2,2011,2011/02,Female,112
Alaska,2,2011,2011/02,Male,145
Alaska,2,2011,2011/03,Female,174
Alaska,2,2011,2011/03,Male,216
Alaska,2,2011,2011/04,Female,130
Alaska,2,2011,2011/04,Male,162
Alaska,2,2011,2011/05,Female,126
Alaska,2,2011,2011/05,Male,186
Alaska,2,2011,2011/06,Female,139
Alaska,2,2011,2011/06,Male,200
Alaska,2,2011,2011/07,Female,138
Alaska,2,2011,2011/07,Male,211
Alaska,2,2011,2011/08,Female,131
Alaska,2,2011,2011/08,Male,190
Alaska,2,2011,2011/09,Female,112
Alaska,2,2011,2011/09,Male,192
Alaska,2,2011,2011/10,Female,149
Alaska,2,2011,2011/10,Male,153
Alaska,2,2011,2011/11,Female,116
Alaska,2,2011,2011/11,Male,182
Alaska,2,2011,2011/12,Female,157
Alaska,2,2011,2011/12,Male,204
Alaska,2,2012,2012/01,Female,135
Alaska,2,2012,2012/01,Male,184
Alaska,2,2012,2012/02,Female,119
Alaska,2,2012,2012/02,Male,188
Alaska,2,2012,2012/03,Female,146
Alaska,2,2012,2012/03,Male,206
